"course","course_status","chapter","lesson","lesson_type","lesson_status","system_exercise_count","system_exercises","pdf_count","pdf_files","context_present","context_characters","content_pages","other_files","has_any_content","lesson_id"
"כיתה יב - 4 יח""ל - 472","מפורסם","חשבון דיפרנצאלי ואינטרגלי","חקירה - פונקציה מעריכית e","תרגול","מפורסם","0","","0","","no","0","","","no","69f58a50ef7ee56187b45f02"
"כיתה יא - 4 יח""ל - 471","מפורסם","שאלון בגרות","טריגונומטריה במשולש ישר זווית","לימוד","מפורסם","1","","0","","no","0","טריגונומטריה המשולש ישר זווית","","yes","69ae625e740b082ba3144a22"
"כיתה יא - 3 יח""ל - 371","מפורסם","גיאומטריה","טריגונומטריה ומשפט פיתגורס - בסיס","תרגול","מפורסם","0","","1","משולש ישר טריגונמטריהזווית-ltLIg2m9VmacTGVj4HIruQGRGOaPN4.pdf","no","0","","","yes","69f58853281ca1d9409c612c"
"כיתה יא - 3 יח""ל - 371","מפורסם","גיאומטריה","טריגונמטירה - משולש ישר זווית","תרגול","מפורסם","0","","1","משולש ישר טריגונמטריהזווית-ltLIg2m9VmacTGVj4HIruQGRGOaPN4.pdf","no","0","","","yes","69d13f7d981f93939c40d4da"
"כיתה יא - 3 יח""ל - 371","מפורסם","גיאומטריה","טריגונמטירה - משולש ישר זווית","לימוד","מפורסם","0","","1","משולש ישר טריגונמטריהזווית-ltLIg2m9VmacTGVj4HIruQGRGOaPN4.pdf","no","0","","","yes","69d13fc243f0b43f2e56eca2"
"כיתה ח' - מתקדם","מפורסם","גיאומטירה","טרפז","לימוד","מפורסם","0","","1","קטעים מיוחדים במשולש-FovzrniRVRBGKyS1wbjPUcZgERI4C5.pdf","yes","22119","","","yes","69f47373751479b982d9f401"
"כיתה ח' - מתקדם","מפורסם","גיאומטירה","טרפז","לימוד","מפורסם","0","","1","קטעים מיוחדים במשולש-FovzrniRVRBGKyS1wbjPUcZgERI4C5.pdf","yes","22119","","","yes","69f4738fc4406639ab5ea6b8"
"כיתה ח' - מתקדם","מפורסם","אלגברה","יחס ופרופורציה","תרגול","מפורסם","0","","1","כיתה ח - יחידה 6 - יחס פרופורציה וקנה מידה-bV8D2v4iC6NU23aAX6MlJy85xUECPR.pdf","no","0","","","yes","69ccec14d46d8c6076170469"
"כיתה ח' - בסיס","מפורסם","אלגברה","יחס ופרופורציה","לימוד","מפורסם","0","","1","קטעים מיוחדים במשולש-FovzrniRVRBGKyS1wbjPUcZgERI4C5.pdf","yes","22119","","","yes","69f4786229f4ef19cd10c6cc"
"כיתה ח' - בסיס","מפורסם","פונקציות","ייצוג של ישר","תרגול","מפורסם","0","","0","","no","0","","","no","69cbf7a9b44b92f140e88dbd"
